Country,Value
Albania, 0.6428571428571429
Algeria, 0.06666666666666667
Argentina, 1.5518134715025906
Aruba, 1.55
Australia, 6.025522041763341
Austria, 6.976510067114094
Barbados, 0.4
Belarus, 4.0
Belgium, 1.7074626865671643
Bolivia, 1.7916666666666667
"Bonaire, Sint Eustatius and Saba  ",0.6250
Bosnia Herzegovenia, 3.823529411764706
Brazil, 2.644657863145258
British Virgin Islands, 74.0
Bulgaria, 6.086206896551724
Canada, 18.219347581552306
Cayman Islands, 14.0
Chile, 3.248796147672552
China, 0.0091324200913242
Colombia, 2.2653061224489797
Cook Islands, 2.0
Costa Rica, 4.933333333333334
Croatia, 1.8585858585858586
Curaçao, 0.37037037037037035
Cyprus, 0.7777777777777778
Czech Republic, 6.2700729927007295
Denmark, 3.115740740740741
Dominican Republic, 0.4642857142857143
Ecuador, 2.539473684210526
Egypt, 1.1428571428571428
El Salvador, 2.409090909090909
Estonia, 5.848484848484849
Faroe Islands, 8.75
Finland, 11.929577464788732
France, 1.7980295566502462
Germany, 12.785340314136125
Greece, 1.287292817679558
Guatemala, 0.5384615384615384
Honduras, 8.0
Hong Kong, 14.882352941176471
Hungary, 0.8505747126436781
Iceland, 1.8
India, 0.06060606060606061
Indonesia, 0.23316062176165803
Ireland, 2.7011494252873565
Isle of Man, 4.5
Israel, 0.7575757575757576
Italy, 3.9835841313269493
Jamaica, 0.11904761904761904
Japan, 1.0106382978723405
Jordan, 6.0
Kazakhstan, 2.108108108108108
La Réunion, 0.45454545454545453
Latvia, 10.0
Lebanon, 0.09523809523809523
Liechtenstein, 0.5
Lithuania, 3.4680851063829787
Luxembourg, 2.411764705882353
Madagascar, 1.0
Malaysia, 0.036585365853658534
Malta, 4.608695652173913
Mauritius, 0.5
Mexico, 2.6115650534255184
Monaco, 3.3333333333333335
Montenegro, 1.7142857142857142
Morocco, 0.6
Netherlands, 4.587804878048781
New Zealand, 11.5
Nicaragua, 19.5
Nigeria, 0.027777777777777776
North Macedonia, 0.5
Norway, 5.745901639344262
Pakistan, 0.5294117647058824
Panama, 4.75
Paraguay,0.6250
Peru, 1.4545454545454546
Philippines, 3.0444444444444443
Poland, 2.644171779141104
Portugal, 5.256880733944954
Puerto Rico, 1.0
Qatar, 2.0
Romania, 6.360902255639098
Russia, 1.6015037593984962
Saint Pierre and Miquelon, 8.0
Saint Vincent and the Grenadines, 0.25
San Marino, 1.3333333333333333
Serbia, 0.2830188679245283
Seychelles, 0.5
Singapore, 2.533333333333333
Sint Maarten, 6.9
Slovakia, 1.803921568627451
Slovenia, 6.803418803418803
South Africa, 1.744186046511628
South Korea, 0.38095238095238093
Spain, 3.047222222222222
Sri Lanka, 1.8235294117647058
Suriname, 0.6666666666666666
Sweden, 11.27
Switzerland, 4.157384987893463
Thailand, 0.3793103448275862
Trinidad and Tobago, 0.5769230769230769
Tunisia, 1.3333333333333333
Turkey, 0.5645161290322581
Uganda, 0.03225806451612903
UK, 3.558872305140962
Ukraine, 0.7032967032967034
Uruguay, 3.212121212121212
US, 9.34550282110853
Venezuela, 0.5555555555555556
